,name,age,floors,rent,type_jia, type_yi,type_bing,Shanghai,LuWan,JiaDing,FengXian,BaoShan,XuHui,PuTuo,YangPu,SongJiang,PuDong,HongKou,jinjiao,ChangNing,MinHang,ZhaBei,QingPu,JingAn,HuangPu,hotel,hospital,mall,park1500,store,underground,POIs
79,证大立方大厦,11.0,23.0,6.08,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0,1.0,5.0,18.0,6.0,2.0,27
80,绿亮科创园,2.0,5.0,1.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0.0,1.0,1.0,7.0,0.0,25
81,宜嘉坊,14.0,6.0,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.0,4.0,4.0,0.0,20.0,1.0,26
82,上海传奇商业广场,1.0,3.0,4.36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,22
83,凯科国际大厦,9.0,28.0,5.07,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,1.0,9.0,1.0,26
84,上海世茂大厦,0.0,27.0,8.11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0,2.0,6.0,10.0,18.0,1.0,27
85,漕河泾浦江科技广场,7.0,14.0,2.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2.0,1.0,2.0,1.0,25
86,金博尚品,11.0,12.0,4.06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,20.0,11.0,0.0,24
87,越界明园,14.0,6.0,4.06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81.0,4.0,0.0,12.0,28.0,1.0,26
88,屹源产业园,10.0,8.0,1.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.0,0.0,3.0,2.0,23.0,0.0,25
89,智苑文创空间,,,3.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0,0.0,0.0,3.0,14.0,0.0,24
90,上海华电大厦,1.0,26.0,6.08,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,22
91,雅居乐国际广场,9.0,37.0,3.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180.0,4.0,10.0,11.0,58.0,2.0,27
92,800秀创意园区,9.0,6.0,6.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63.0,2.0,2.0,5.0,0.0,1.0,26
93,华融大厦,113.0,31.0,5.07,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.0,6.0,13.0,5.0,0.0,1.0,26
94,悦达国际大厦,13.0,26.0,3.85,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55.0,5.0,8.0,3.0,21.0,3.0,27
95,沧源科技园,,8.0,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,4.0,0.0,25
96,瑞金大厦,20.0,27.0,6.26,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.0,19.0,5.0,12.0,39.0,1.0,27
97,全方位数码城,2.0,15.0,1.72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.0,3.0,1.0,1.0,0.0,1.0,26
