,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,address_for_coordinate,latitude,longitude
1970,漕河泾科技产业化大楼,https://www.haozu.com/sh_xzl_3311/,122,40 - 516.1m²,徐汇  漕河泾宜山路900号  ,4.38,4.78,漕河泾,22.0,85000m²,4,4,上海郑世贸易有限公司ELMA销售部,85000,徐汇  漕河泾宜山路900号  ,31.1774978638,121.408203125
1971,由度工场,https://www.haozu.com/sh_xzl_17284/,1,600m²,浦东  金桥宁桥路615号  ,2.8,3.46,金桥,6.0,,,3,,,浦东  金桥宁桥路615号  ,31.2579517365,121.622657776
1972,杨浦科技大厦,https://www.haozu.com/sh_xzl_1985/,7,107.2 - 800m²,杨浦  五角场杨浦区黄兴路2005弄  ,2.98,24.11,五角场,10.0,13000m²,3,3,,13000,杨浦  五角场杨浦区黄兴路2005弄  ,31.2990055084,121.52469635
1973,燎申国际大厦,https://www.haozu.com/sh_xzl_2156/,2,139 - 156m²,闵行  虹桥吴中路1068号  ,3.3,4.84,虹桥,9.0,15000m²,3.5,5,北京格罗唯视储运有限公司上海分公司、上海虹桥装潢五金有限公司、上海禹维贸易有限公司、上海美博园林工程有限公司、上海真贤服饰有限公司,15000,闵行  虹桥吴中路1068号  ,31.1830673218,121.393325806
1974,五角丰达广场,https://www.haozu.com/sh_xzl_1525/,22,139.9 - 575m²,杨浦  五角场政益路8号  ,5.63,24.11,五角场,12.0,36000m²,3.9,4,上海龙建钢铁发展有限公司,36000,杨浦  五角场政益路8号  ,31.3085632324,121.524993896
1975,宝鼎大厦,https://www.haozu.com/sh_xzl_4351/,7,220 - 850m²,卢湾  打浦桥徐家汇路550号  ,4.4,6.86,打浦桥,29.0,37050m²,3.6,5,北京联合保险经济有限公司上海分公司、中信建投证券有限公司、新悦浪漫佳缘网,37050,卢湾  打浦桥徐家汇路550号  ,31.2120342255,121.476921082
1976,尚之坊时尚文化创意园,https://www.haozu.com/sh_xzl_20280/,20,370 - 2733.4m²,青浦  重固崧泽大道6066号  ,1.67,3.28,重固,5.0,160000m²,4.5,2,诺奇、红孩儿、安利皮革、毅盛纺织、祺佳时装等，也吸引了时尚设计公司日本HKS、德国博恬、德国科来、鹤石环境艺术。,160000,青浦  重固崧泽大道6066号  ,31.181394577,121.188064575
1977,浦东创研智造,https://www.haozu.com/sh_xzl_18273/,14,200 - 2500m²,南汇  康桥秀浦路3188弄  ,2.4,2.76,康桥,33.0,320000m²,4.5,4,,320000,南汇  康桥秀浦路3188弄  ,31.134016037,121.575614929
1978,江裕大厦,https://www.haozu.com/sh_xzl_1485/,29,108 - 1187.8m²,闸北  大宁路广中西路777弄99号  ,4.94,4.91,大宁路,18.0,15600m²,3.7,2,,15600,闸北  大宁路广中西路777弄99号  ,31.2853507996,121.4453125
1979,新城CBD财富广场,https://www.haozu.com/sh_xzl_2503/,15,100 - 262m²,嘉定  新城阿克苏路1358号  ,2.43,2.07,新城,10.0,,3.9,2,,,嘉定  新城阿克苏路1358号  ,31.35597229,121.266288757
1980,建设大厦,https://www.haozu.com/sh_xzl_3833/,35,170 - 510m²,黄浦  外滩江西中路181号  ,5.98,10.33,外滩,16.0,,,3,上海冶金劳动服务有限公司、上海瑞和文物销售有限公司,,黄浦  外滩江西中路181号  ,31.2405376434,121.493804932
1981,中环现代大厦,https://www.haozu.com/sh_xzl_2778/,1,884m²,普陀  长寿路长寿路59、69号  ,5.5,5.94,长寿路,25.0,39000m²,3.5,3,企业名称：雷诺斯国际货运代理，所属行业：物流/运输、企业名称：上海中环投资开发(集团)，所属行业：房地产/建筑、企业名称：埃康广告有限公司，所属行业：广告/媒体、企业名称：茂舜生物科技(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：宜信商务投资有限公司，所属行业：会计/金融/银行/保险,39000,普陀  长寿路长寿路59、69号  ,31.2502918243,121.451217651
1982,沪东金融大厦,https://www.haozu.com/sh_xzl_1540/,6,76 - 664m²,杨浦  五角场上海杨浦区翔殷路1128号  ,3.93,24.11,五角场,21.0,45793m²,3.4,6,企业名称：农业银行，所属行业：会计/金融/银行/保险、企业名称：大西洋百货，所属行业：贸易/消费/制造/营运、企业名称：中国太平洋人寿保险股份有限公司，所属行业：会计/金融/银行/保险、企业名称：上海杨浦区新东方进修学校，所属行业：专业服务/教育/培训、企业名称：上海交大昂立职业培训中心，所属行业：专业服务/教育/培训,45793,杨浦  五角场上海杨浦区翔殷路1128号  ,31.306558609,121.523384094
