,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,store,mall,park,hotel,underground,park1500
1919,越界·明园商务中心,https://www.haozu.com/sh_xzl_2844/,16,38 - 750m²,徐汇  徐家汇嘉善路98118号  ,4.59,7.52,徐家汇,,18689m²,2.7,2,企业名称：上海长途汽车票东台路代理点，所属行业：专业服务/教育/培训、企业名称：上海贝妮室内装饰装潢有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海蝶信数码科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：日本鸿池运输株式会社上海事务所，所属行业：贸易/消费/制造/营运、企业名称：上海创驰企业管理咨询有限公司，所属行业：专业服务/教育/培训、企业名称：上海华蝉市场营销策划有限公司，所属行业：专业服务/教育/培训、企业名称：《中华商标》杂志社上海站，所属行业：广告/媒体,18689,35.0,4.0,35.0,39.0,1.0,16.0
1920,涌林社,https://www.haozu.com/sh_xzl_36241/,21,40 - 770m²,嘉定  嘉定城区清河路55号  ,3.2,5.3,嘉定城区,,,,,,,30.0,13.0,30.0,15.0,0.0,7.0
1921,森林湾大厦,https://www.haozu.com/sh_xzl_10923/,5,163 - 509m²,虹口  四川北路海宁路307号  ,4.3,6.6,四川北路,23.0,58000m²,4,3（B栋）、6（C栋,天津市嘉达货运代理有限公司上海代表处、上海捷喜国际货物运输代理有限公司,58000,72.0,10.0,72.0,34.0,1.0,4.0
1922,鑫达财富中心,https://www.haozu.com/sh_xzl_4542/,1,844.5m²,长宁  北新泾淞虹路152号  ,4.5,4.63,北新泾,4.0,,,,申报万国证券,,15.0,3.0,15.0,2.0,1.0,2.0
1923,保辉国际大厦,https://www.haozu.com/sh_xzl_13195/,46,139.2 - 330m²,杨浦  五角场民府路  ,4.5,24.11,五角场,12.0,67417.31m²,3.5,,,67417.31,27.0,20.0,27.0,11.0,2.0,5.0
1924,礼和洋行,https://www.haozu.com/sh_xzl_24297/,17,98 - 102m²,黄浦  南京东路江西中路255号  ,8.3,7.28,南京东路,4.0,6076m²,3.0,,,6076,52.0,15.0,52.0,56.0,1.0,3.0
1925,中福花苑一期,https://www.haozu.com/sh_xzl_29692/,14,null,黄浦  其他海潮路23号  ,,,,,,,,,,21.0,6.0,21.0,13.0,1.0,3.0
1926,同诠大厦,https://www.haozu.com/sh_xzl_1868/,2,730m²,长宁  仙霞新村古北路678号  ,4.6,7.31,仙霞新村,25.0,19000m²,3.5,3,企业名称：上海正家实业有限公司，所属行业：贸易/消费/制造/营运、企业名称：在苑国际贸易(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：和成(中国)有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：仲腾制衣有限公司，所属行业：贸易/消费/制造/营运、企业名称：景年医疗器械有限公司，所属行业：贸易/消费/制造/营运,19000,7.0,0.0,7.0,12.0,0.0,6.0
1927,晶采世纪大厦,https://www.haozu.com/sh_xzl_5001/,2,242m²,静安  南京西路威海路567号  ,7.0,8.86,南京西路,25.0,34793m²,3.6,5,理慈知识产权信息咨询(上海)有限公司、德国荣利国际运输有限公司,34793,37.0,15.0,37.0,30.0,3.0,19.0
1928,中山万博国际中心,https://www.haozu.com/sh_xzl_2074/,7,300 - 835m²,长宁  虹桥淮海西路666号  ,7.66,7.31,虹桥,28.0,52895m²,3.8,12,企业名称：泰尔茂医疗产品(上海)有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：上海凯旋城市信用合作社，所属行业：会计/金融/银行/保险,52895,19.0,2.0,19.0,12.0,1.0,6.0
1929,盛邦国际大厦,https://www.haozu.com/sh_xzl_1422/,30,148 - 834.1m²,虹口  四川北路四川北路1318号  ,6.66,6.6,四川北路,33.0,56278m²,3.9,6,企业名称：东菱国际货物运输代理有限公司，所属行业：物流/运输、企业名称：大森回漕国际物流(上海)有限公司，所属行业：物流/运输、企业名称：边行（中国）有限公司，所属行业：政府/非赢利机构/其他、企业名称：上海拓洋国际物流有限公司，所属行业：物流/运输、企业名称：杭州加多宝饮料有限公司，所属行业：贸易/消费/制造/营运,56278,51.0,12.0,51.0,32.0,1.0,4.0
1930,威海路727弄,https://www.haozu.com/sh_xzl_30781/,1,400m²,静安  其他威海路727弄  ,10.7,8.36,其他,,,,,,,40.0,12.0,40.0,45.0,3.0,17.0
1931,伟泰大厦,https://www.haozu.com/sh_xzl_12250/,11,20m²,浦东  塘桥峨山路91弄58号  ,9.9,6.81,塘桥,9.0,11600m²,4,2,,11600,16.0,0.0,16.0,6.0,1.0,5.0
1932,陆家嘴商务广场,https://www.haozu.com/sh_xzl_30208/,5,570 - 1999m²,浦东  竹园商贸区世纪大道1600号  ,9.5,11.33,竹园商贸区,34.0,98130m²,,12,,98130,8.0,0.0,8.0,4.0,1.0,6.0
1933,陆家嘴金融街区•星公馆,https://www.haozu.com/sh_xzl_23495/,56,47 - 1262m²,浦东  洋泾南洋泾路555号  ,7.95,8.67,洋泾,12.0,117780m²,3.9,,,117780,4.0,1.0,4.0,1.0,1.0,5.0
1934,98创意园,https://www.haozu.com/sh_xzl_2010/,1,440m²,静安  南京西路延平路98号  ,6.0,8.86,南京西路,6.0,14000m²,4.7,1,企业名称：豪艺设计咨询（上海）有限公司，所属行业：专业服务/教育/培训、企业名称：上海赵小蝶化妆品有限公司，所属行业：贸易/消费/制造/营运、企业名称：宏腾物业服务（上海）有限公司，所属行业：专业服务/教育/培训、企业名称：泰诺健（上海）国际贸易有限公司2F上海午未广告有限公司2F宏腾物业服务（上海）有限公司2F上海纯粹广告有限公司2F美播商务咨询（上海）有限公司2F上海赵小蝶化妆品有限公司3F宇宙运通有限公司4F苏州运通丝绸服饰有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：上海午未广告有限公司，所属行业：广告/媒体,14000,35.0,5.0,35.0,27.0,0.0,4.0
1935,博鸿大厦,https://www.haozu.com/sh_xzl_4952/,5,75 - 850m²,静安  江宁路江宁路495号  ,3.42,8.86,江宁路,26.0,21369m²,3.2,3,云鼎广告设计部、上海外经贸投资(集团)金属贸易有限公司、深圳成美五金制品有限公司,21369,23.0,4.0,23.0,34.0,0.0,4.0
1936,紫竹信息数码港,https://www.haozu.com/sh_xzl_11628/,15,265 - 3098m²,闵行  吴泾东川路555号  ,2.26,2.85,吴泾,4.0,117373.64m²,4.5,1,,117373.64,1.0,0.0,1.0,0.0,0.0,0.0
1937,绿地海外滩中心,https://www.haozu.com/sh_xzl_29416/,17,75 - 550m²,卢湾  五里桥龙华中路886号  ,5.89,10.1,五里桥,22.0,,4.2,19,,,11.0,1.0,11.0,7.0,1.0,2.0
1938,东海园,https://www.haozu.com/sh_xzl_11351/,1,763m²,静安  昌平路西康路638号  ,5.0,8.36,昌平路,,29881m²,,,,29881,30.0,3.0,,18.0,1.0,3.0
1939,丽晟广场,https://www.haozu.com/sh_xzl_11975/,2,383 - 383.6m²,浦东  塘桥环龙路65弄1  ,5.0,6.81,塘桥,4.0,8000m²,3.6,,,8000,4.0,0.0,4.0,8.0,0.0,1.0
1940,筑梦空间,https://www.haozu.com/sh_xzl_41092/,4,56 - 119m²,普陀  长风新村泸定路866号2楼  ,5.63,5.04,长风新村,,,,,,,10.0,0.0,10.0,4.0,0.0,6.0
1941,加减乘除创意园,https://www.haozu.com/sh_xzl_5199/,4,280 - 400m²,普陀  长征云岭西路689弄230号  ,2.85,5.04,长征,7.0,13000m²,5,2,东渡国际、北岸长风,13000,6.0,0.0,6.0,3.0,0.0,2.0
1942,中煌大厦,https://www.haozu.com/sh_xzl_4935/,14,42 - 79.3m²,徐汇  万体馆中山南二路1007号  ,3.62,5.67,万体馆,18.0,21600m²,3,3,上海瀚商管理咨询有限公司、上海协为信息科技有限公司、上海柯灿贸易有限公司、金鸿企业管理有限公司,21600,15.0,1.0,15.0,13.0,2.0,4.0
1943,龙之梦丽晶大厦,https://www.haozu.com/sh_xzl_20287/,9,146.9 - 1050m²,长宁  中山公园长宁路1018号  ,9.32,6.92,中山公园,58.0,,4.0,6,,,23.0,4.0,23.0,29.0,1.0,5.0
1944,月牙湾,https://www.haozu.com/sh_xzl_37469/,19,46 - 2000m²,长宁  虹桥哈密路2065号  ,7.48,7.31,虹桥,,,,,,,11.0,1.0,11.0,7.0,1.0,26.0
1945,银统大厦,https://www.haozu.com/sh_xzl_1245/,77,132.2 - 232.8m²,长宁  中山公园定西路1016  ,6.2,6.92,中山公园,24.0,40000m²,3.5,3,,40000,36.0,5.0,36.0,21.0,0.0,8.0
1946,嘉发大厦,https://www.haozu.com/sh_xzl_4774/,17,null,静安  南京西路大田路129弄  ,,,,33.0,55982m²,3,3,谙稷国际贸易有限公司、胜上国际贸易(上海)有限公司、新加坡迪发机械有限责任公司上海代表处、宏晖软件技术有限公司,55982,41.0,17.0,41.0,23.0,2.0,13.0
1947,金外滩国际广场,https://www.haozu.com/sh_xzl_3816/,15,165 - 581m²,黄浦  外滩中山南路100号  ,10.73,10.33,外滩,22.0,77852m²,3.5,6,,77852,26.0,4.0,26.0,15.0,0.0,5.0
1948,虹钦园,https://www.haozu.com/sh_xzl_3408/,6,227.7 - 765m²,徐汇  漕河泾钦州北路1089号  ,3.48,4.78,漕河泾,8.0,20000m²,3.5,1,上海技源科技有限公司,20000,7.0,0.0,7.0,1.0,0.0,5.0
1949,云堡互联图书馆,https://www.haozu.com/sh_xzl_39809/,2,16 - 66m²,松江  洞泾王家厍路885弄  ,1.4,1.74,洞泾,,,,,,,0.0,0.0,,1.0,0.0,0.0
1950,base凯旋路,https://www.haozu.com/sh_xzl_25554/,9,254.8 - 529.9m²,徐汇  万体馆凯旋路2088号  ,6.83,5.67,万体馆,5.0,5300m²,2.95,2,,5300,27.0,1.0,27.0,20.0,0.0,5.0
