,name,link,rent,floors,surface,floor_height,elevator,companys
143,锦城大厦,https://www.haozu.com/sh_xzl_16649/,3.77,26,69000,2.8,3,上海华颐医疗器械有限公司、上海黎瑞机械科技有限公司
144,东朔空间,https://www.haozu.com/sh_xzl_36403/,4.25,,,,,
145,铭天下创意工坊,https://www.haozu.com/sh_xzl_5069/,5,3,22800,3.5,1,华瑞科技
146,上药集团-新先锋商务,https://www.haozu.com/sh_xzl_1350/,6.77,6,,3.6,1,企业名称：上海新先锋华康医药有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海昕闳讯电子科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海恒敏科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海万基隆电子科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：马尔计量设备贸易（上海），所属行业：贸易/消费/制造/营运
147,北外环创意港,https://www.haozu.com/sh_xzl_4312/,2.15,5,21000,3.5,2,
148,高登金融大厦,https://www.haozu.com/sh_xzl_2265/,8.01,28,15000,3.6,6,企业名称：经济日报，所属行业：广告/媒体、企业名称：韩国泛洲海运，所属行业：物流/运输、企业名称：裕利集装箱服务，所属行业：物流/运输、企业名称：白玉兰律师事务所，所属行业：专业服务/教育/培训、企业名称：经济报社，所属行业：政府/非赢利机构/其他
149,中航材大厦,https://www.haozu.com/sh_xzl_12414/,1.8,,,,,
150,华尔登广场,https://www.haozu.com/sh_xzl_12933/,6.7,14,87269,3.5,2,企业名称：福安居服饰礼品有限公司，所属行业：贸易/消费/制造/营运、企业名称：百昌国际货运代理(上海)有限公司，所属行业：物流/运输、企业名称：【碧优缇商务咨询(上海)有限公司，所属行业：专业服务/教育/培训、企业名称：广东溢达纺织有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海精彩假日旅行社有限公司，所属行业：专业服务/教育/培训
151,鸿运大厦,https://www.haozu.com/sh_xzl_12498/,3.32,31,50000,3.2,7,华鼎建筑装饰工程有限公司、上海杉俊纺织有限公司
152,中一国际商务大厦,https://www.haozu.com/sh_xzl_3084/,5.3,25,39144,4,5,上海博萨服饰有限公司
153,龙裕财富中心,https://www.haozu.com/sh_xzl_2288/,5,11,12500,1.05,3,企业名称：范德兰德物流自动化系统(上海)有限公司，所属行业：物流/运输、企业名称：上海庞源机械租赁股份有限公司，所属行业：贸易/消费/制造/营运
154,敦奴大厦,https://www.haozu.com/sh_xzl_2650/,4.1,16,15000,3.4,2,
155,虹桥绿谷广场,https://www.haozu.com/sh_xzl_11433/,5.73,10,500000,4.2,3,
156,由度工场,https://www.haozu.com/sh_xzl_17284/,2.8,6,,,3,
157,越界·大宁财智中心,https://www.haozu.com/sh_xzl_1085/,3.5,18,18826.88,4.3,1,上海多科贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海大中科技有限公司，所属行业：计算机/互联网/通信/电子
158,恒润大厦,https://www.haozu.com/sh_xzl_3380/,2.9,12,23600,3.5,4,
159,中天科技商务园,https://www.haozu.com/sh_xzl_3263/,2.5,,100000,3.9,2,长银物业发展有限公司
160,上海丽婴房营运总部大楼,https://www.haozu.com/sh_xzl_11548/,4.45,20,60000,3.6,4,
161,江南新苑,https://www.haozu.com/sh_xzl_24624/,4.5,,,,,
162,恒基旭辉中心,https://www.haozu.com/sh_xzl_18826/,5.9,,167248,,2,
163,金环汇智天地,https://www.haozu.com/sh_xzl_12521/,2.8,12,40000,3.5,3,
164,骏利财富大厦,https://www.haozu.com/sh_xzl_16862/,3.2,22,2270,3.5,3,企业名称：上海孝天财务咨询有限公司，所属行业：专业服务/教育/培训、企业名称：绿光教育，所属行业：专业服务/教育/培训
165,北美广场,https://www.haozu.com/sh_xzl_1527/,6,23,75224,4.1,6,上海科幻经济(计算机/互联网/通信/电子)、上海诺豪机电工程成套有限公司(房地产/建筑)、上海维沃化工有限公司(能源/原材料)、浙江国昌机械有限公司(贸易/消费/制造/营运)、新多集团有限公司(政府/非赢利机构/其他)
166,上海信息技术大厦,https://www.haozu.com/sh_xzl_1556/,3.52,31,49000,3.1,4,上海罗维信息技术有限公司、上海贝杰仪器仪表有限公司、上海迈玛瑞大酒店有限公司、上海昀润商务咨询有限公司
167,银发大厦,https://www.haozu.com/sh_xzl_11357/,5.5,27,51000,3.8,3,
168,上海智能制造科技创业中心,https://www.haozu.com/sh_xzl_19358/,5.72,7,,3.5,,上海辰竹仪表有限公司
169,宝华大厦,https://www.haozu.com/sh_xzl_2773/,5.57,24,28970,3.2,4,企业名称：上海伊馨瘦身美容(长寿路店)，所属行业：专业服务/教育/培训、企业名称：通远商务宾馆，所属行业：专业服务/教育/培训、企业名称：上海誉祖友国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：香港标准纺织有限公司上海代表，所属行业：贸易/消费/制造/营运、企业名称：杰姆士（上海）酒业贸易，所属行业：贸易/消费/制造/营运
170,上海国际印刷包装城,https://www.haozu.com/sh_xzl_20338/,2.2,6,10000,2.8,,
171,绿地北郊广场,https://www.haozu.com/sh_xzl_16952/,1.1,,225000,3,,
172,洪东工业园区,https://www.haozu.com/sh_xzl_30671/,2.15,,,,,
173,茸锦·浦江科技园,https://www.haozu.com/sh_xzl_24206/,1.99,11,42000,3.9,,
174,中铁中环时代广场,https://www.haozu.com/sh_xzl_16850/,4.27,16,214227,4.2,16,
175,虹桥国际商务广场,https://www.haozu.com/sh_xzl_2867/,6.71,16,37293,3.5,6,
176,中创大厦,https://www.haozu.com/sh_xzl_2110/,8.04,22,25000,,5,
177,江桥万达广场,https://www.haozu.com/sh_xzl_3746/,2.84,10,170000,2.9,2,金其商贸、热舞舞蹈会所、上海俱净建筑安装工程有限公司、台纬电子(上海)有限公司、上海泾硕机电设备有限公司
178,新梅联合广场,https://www.haozu.com/sh_xzl_2100/,10.26,38,110000,2.7,10,平壤高丽饭店、资生堂（中国）投资有限公司、欧姆龙电子部件贸易（上海）有限公司、西部数据香港有限公司、好时食品国际贸易（上海）有限公司
179,绿地商务大厦,https://www.haozu.com/sh_xzl_3215/,5.8,23,46356,4,6,拾元饰品有限公司、比利时贝高福厨房用具、福建众合营销营销有限公司、美国贸易电子公司上海代表处、恩华特环境技术（上海）、恩华特环境技术（上海）有限公司、
180,同心799,https://www.haozu.com/sh_xzl_19449/,3,,,,,
181,高宝新时代广场,https://www.haozu.com/sh_xzl_10842/,5.82,28,49379,3.35,4,华达进出口有限公司、新贸海国际集装箱储运有限公司
182,复城国际,https://www.haozu.com/sh_xzl_4471/,3.18,18,150000,3.5,4,上海浦瓯钢铁有限公司、上海居斋贸易有限公司、上海菲洋实业有限公司、牛津（上海）咨询有限公司
183,互联宝地,https://www.haozu.com/sh_xzl_24961/,5.13,,,,,
184,张江虹口园智慧健康医疗产业基地,https://www.haozu.com/sh_xzl_39182/,4.75,,,,,
185,国立大厦,https://www.haozu.com/sh_xzl_11303/,5.6,24,33000,3.6,4,
186,上海工程大学科创楼,https://www.haozu.com/sh_xzl_3119/,5.5,8,,,2,
187,香港新世界大厦,https://www.haozu.com/sh_xzl_1684/,10.67,60,134467,3.1,11,企业名称：荷兰纽迪希亚出口有限公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：富士施乐(中国)有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：申万巴黎基金管理有限公司，所属行业：会计/金融/银行/保险、企业名称：美世咨询（上海）有限公司，所属行业：专业服务/教育/培训、企业名称：上海碧日广告有限公司，所属行业：广告/媒体
188,华鑫中心,https://www.haozu.com/sh_xzl_18043/,6,19,175000,,,上海游族文化传媒有限公司
189,特耐博生命科技产业园,https://www.haozu.com/sh_xzl_24446/,3.28,,,,,
