,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,floors_hz,surface_hz,floor_height_hz
730,淮云大厦,2,20.0,16.0,3.5,9.0,6.0,14.0,23.0,55.0,1.0,7,16.0,13080.0,3.5
731,光启城,3,7.0,24.0,6.84,24.0,1.0,3.0,7.0,21.0,2.0,7,24.0,163869.0,3.9
732,财富国际广场,3,12.0,26.0,3.7,25.0,3.0,7.0,7.0,17.0,0.0,6,26.0,101700.0,
733,世宏金源中心,3,,,4.03,2.0,3.0,0.0,0.0,9.0,0.0,4,26.0,130000.0,4.0
734,雷迪大厦,2,,6.0,5.5,29.0,9.0,10.0,0.0,29.0,1.0,6,5.0,,3.5
735,华鑫中心,3,,17.0,6.0,4.0,3.0,2.0,3.0,15.0,1.0,7,19.0,175000.0,
736,SOHO复兴广场,3,,27.0,8.79,54.0,9.0,3.0,24.0,41.0,1.0,7,6.0,137436.0,3.0
737,新漕河泾国际商务中心,3,8.0,36.0,6.16,11.0,1.0,0.0,2.0,0.0,0.0,4,36.0,188294.0,4.0
738,鼎力创意园,3,1.0,7.0,4.68,8.0,4.0,1.0,5.0,3.0,0.0,6,,,
739,文广大厦,3,7.0,24.0,11.53,11.0,5.0,3.0,5.0,10.0,1.0,7,,42229.0,2.8
740,东方万国企业中心,3,,,4.25,4.0,1.0,1.0,0.0,0.0,0.0,4,12.0,300000.0,
741,近铁城市广场,3,5.0,16.0,6.28,18.0,1.0,4.0,3.0,10.0,1.0,7,16.0,200000.0,4.5
742,赢华国际广场,3,7.0,16.0,5.02,8.0,0.0,2.0,5.0,4.0,0.0,5,16.0,108513.0,4.2
743,创智空间,2,,6.0,5.8,0.0,0.0,2.0,1.0,3.0,1.0,5,,,
744,717工坊,3,,,4.0,60.0,6.0,10.0,6.0,34.0,1.0,7,5.0,3900.0,3.8
745,亚芯中心,3,5.0,9.0,6.5,1.0,0.0,0.0,0.0,0.0,0.0,2,9.0,76235.0,3.5
746,东明广场,2,22.0,26.0,2.55,39.0,8.0,13.0,4.0,25.0,1.0,7,26.0,42000.0,2.7
747,由度工场,3,,,2.8,19.0,0.0,1.0,1.0,6.0,0.0,5,6.0,,
748,智慧大厦,3,,,1.8,0.0,0.0,0.0,2.0,2.0,0.0,3,17.0,25000.0,3.5
